call,accuracy,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y
2034,17.0,0.13602844201279743,0.43487784593638507,1.0283698476928829,1.576951370758275,0.28583356463354115,0.5450069448815164,0.853851179428551,0.47853208558878674,0.3217729408504401,0.6149731576754162,0.10000000000000002,0.3802022194816868,1.7229502105358097,1.3634540306520062,0.2307969428225,4.999999999999999,0.360760870733797,0.5457429698600608,0.9568690691856425,0.6158103978702092
2035,17.2,0.24569814342017168,0.14226759829775854,0.6773708531300363,1.358971546370747,0.13954159896515247,0.8450824896179361,0.8639818824962144,0.584264078156998,0.38186167869465176,0.8011780026219922,0.44117533447689633,0.5154023914291016,0.42853254284152814,0.17054272603966697,0.6141477674153412,0.11289899718100888,1.3911962327399332,0.7985098598289619,1.3775185588991838,1.5858428313106554
2036,14.2,0.16825755461735903,0.6066422807888686,0.8478948640704081,2.192182063477254,0.5628034201860617,0.4364139325166807,1.1820857305152377,0.19634597958872854,0.33556650481890066,0.3995204432985888,0.41690895310320364,0.1458638644558172,0.537086382811059,0.6071401161420305,0.6579372226985698,4.999999999999999,0.8780462079503879,0.4320238745073008,1.465767194487214,0.23622022183086674
2037,16.0,0.10227770571014438,0.38224833425743304,0.7046780404665401,1.348773431122473,0.2741465975803274,0.4403964315923179,0.4438598322258886,0.24914482707464178,0.17005067168528445,0.3000053440491157,0.10000000000000002,0.36128246566641425,2.918139742999237,0.44669151044494276,0.1692051580003915,4.999999999999999,0.26526768779171817,0.72165372699733,1.1681961151554698,0.5843771287182971
2038,16.8,0.15045764159253067,0.4204923731289044,0.5855800687314899,1.226330424996115,0.22985917102378686,0.5043087045749824,0.8137378506490878,0.4261289045932236,0.4471152525863074,0.42247830597701447,0.11313459046060978,0.6248575058754999,1.7284544197932414,0.4897221787260195,0.12441768665243128,4.999999999999999,0.32844152768177465,0.5510213904109313,1.0743716270192056,0.5473334002090654
2039,15.4,0.1337973068479725,0.5858187316451575,1.0708626653791278,1.5186553634774627,0.5459293976011703,0.5827054871431594,1.2544161134695264,0.31066851937138656,0.5034320814894422,0.6910337702184774,0.3240859741160768,0.1338906237994522,0.9988953494655957,1.5120545332544435,0.6551711369096284,4.999999999999999,0.6695013569592417,0.33912436382924804,0.752889058642631,0.2145210317223078
2040,14.4,0.18639526466033818,0.4711813417869702,1.0352946596258092,1.3424249935844095,0.5950942602885131,0.6160409820708865,0.7659668445608345,0.3388605490642534,0.44235588173512563,0.8239901172308608,0.6856069736966643,0.2127053993758665,2.000957470122774,1.20366771632875,0.18145269341348932,4.999999999999999,0.2845787955987965,0.5262513784880809,0.5435519771105651,0.368307163503783
2041,15.0,0.25112456312774667,0.711843142392198,0.6848745170989118,1.2790782216777146,0.5677978155109684,0.6903684157870663,0.8453139945266892,0.21022597864872447,0.5770546137785351,0.7992608521780927,0.4195097623136909,0.2913114380938678,0.5189543120384272,0.6274329506983215,1.7957539721901363,4.999999999999999,1.2639451931980958,0.35984414888869415,0.7247555159357107,0.19438123620809158
2042,7.4,0.10000000000000002,0.10000000000000002,4.999999999999999,4.999999999999999,0.10000000000000002,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.999999999999999,0.10000000000000002,0.10000000000000002
2043,6.8,4.999999999999999,4.999999999999999,0.10000000000000002,0.10000000000000002,4.999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.999999999999999,4.999999999999999
