call,accuracy,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y
36,8.0,1.0975719035713187,0.7490534332321763,0.2466139309310449,0.11179765423967693,1.297878861641978,0.7119394605193825,1.1160814552805327,0.16912043008083064,0.19825248577816393,1.2362641225564688,1.6395002348777576,2.0688439568744905,1.8928491440426316,1.5143776550036208,0.7485863008927003,0.2730172971744137,0.6688648571926361,2.806600187515776,3.7266592438994293,0.26561131981559793
37,11.0,4.828205842391319,0.2272879582229676,1.3999162734235804,0.16500307779819737,3.209399295869768,0.8426631678643077,0.3139340151682488,0.9659140677111232,1.1056454597956016,0.9647259875121735,1.2865593110478244,0.1071193322685116,0.7499850440058328,0.4205592603789671,0.14545855916557182,0.45146257261429634,1.8074780743347434,1.567221937462868,0.3141613563239016,0.13460384940901207
38,10.0,2.4521745795634455,1.9242646859449664,0.7501155089500455,0.2186246470439386,3.713411961737695,0.8851133999436162,0.8677771943623572,0.19811228322437577,0.6054279130563215,0.14998626580300878,0.12215009833070933,0.17936951135332987,3.9414267599384893,4.125149949698892,2.206087523768875,0.8715572768684229,0.19161161567954632,0.13574649521770385,2.0968606019995217,0.9700018693780131
39,10.0,0.5132240829812508,0.16964067536177554,0.2569003058119851,0.10177408742454416,0.7437911419838482,1.0976588764540656,1.0154453952572497,0.4514956175850173,0.26411481647272683,0.17235186858736812,0.32368453180948253,0.2057580067983051,0.4983560916030931,0.10758171617297423,2.7974857735512595,0.117959518474551,0.5191648931655863,0.987728655020702,1.9627869883529225,0.4732414306079714
40,8.0,0.7301220150633846,3.751438921659622,0.1994173049707476,0.10194408487255421,0.23161017476003476,0.3074542409754454,3.360337409698216,0.1405936218635101,0.20636519036465198,0.5512508362556798,3.3927337204212487,3.337576676578253,0.5524928754745433,0.20486856806256812,0.2288649115863548,4.863613492326397,4.832010418734922,0.8582899100739869,0.22711237377548793,0.15820023714397713
41,10.0,0.17547446836051014,3.5384172320774723,2.0246355543534564,2.308252047065537,3.1775719738148034,0.12009314465847311,0.5418847298785178,2.9044093219356757,0.22874957727603992,0.22671878148528257,2.2107281448766187,0.2588919304631079,0.6972457728834319,3.557547390239262,2.399588082473766,3.310586612936606,0.10948924805111371,0.17767866076840244,3.879367382989431,0.28461659771020553
42,17.0,0.45844667263542344,0.37777463991664345,3.1437711895689713,0.40732108879000106,1.0904693797921288,0.4843803667950893,0.22299026170334968,0.4843441684914158,2.0818532627573223,1.7654513427409724,3.647733882760421,4.715797940929071,0.13404421056594498,1.0630436653005368,1.7130491179681007,0.11241088564318533,0.36602966741286347,3.442617164440609,0.6567299800112176,0.28280663588822746
43,10.0,0.1823113752207426,1.0271972275869787,1.0097301236815706,0.3009792694941683,1.282902735365119,3.999611892101882,3.323244373247442,0.19194965993906654,0.3868391571202194,0.32298388707153247,0.19940162270656595,0.523532443029755,0.5705770357582478,0.20894555382543203,3.458929619223313,0.3718064964693196,0.4158535562317293,0.8044241563999281,0.5214792259153174,2.6780061696720794
44,14.0,0.4960672393232402,0.7983242827309418,1.1147829301044234,0.16173269326558448,0.6010273704869127,1.285981688964754,0.8317139267222785,2.5778732166777303,0.1177273233929459,0.8410239184379092,0.23176930369932114,0.9449036796794129,0.20794415250312215,0.10998737694045484,1.1912162112957727,0.12882063556231446,1.545618847966884,0.10870065106004291,4.672222184461548,0.2267479021507023
45,15.0,4.325764890608141,0.37888504674884893,1.4893924833329637,3.2035143001720026,0.3457665123178315,0.7127307668676931,0.52783866645305,0.1515987884016332,1.4847432610082485,1.70187153363804,0.16638807479432022,0.2008458029216821,1.1625824315915256,2.1366740039727703,2.099903881683547,1.55846885317926,0.11886491929372334,1.557044562405302,0.20383322279033628,1.1185940528156886
