call,score,total_ll,mean_coverage,mean_smoothness,mean_efficiency,alpha,beta,gamma,scale_A,scale_C,scale_D,scale_E,scale_F,scale_G,scale_H,scale_I,scale_K,scale_L,scale_M,scale_N,scale_P,scale_Q,scale_R,scale_S,scale_T,scale_V,scale_W,scale_Y,trans_match_self_loop,trans_forward,trans_to_skip,trans_to_slip,trans_to_insert,trans_to_end,trans_insert_self_loop,trans_insert_to_match,trans_skip_to_match,trans_skip_continue,trans_slip_to_match,trans_slip_continue
2334,-310.46648602442633,-501.3725229842248,0.8567999999999999,0.83308,0.9524092475411698,0.734121384672034,0.12312968537705113,0.5647963381927098,36.217554732217984,0.08985494492783345,16.722368741041183,2.566072269950124,0.3061318681568428,0.03675570878683406,7.252810599046234,8.45814166724457,10.861202121063956,1.3481498936144358,46.68626132174692,0.2317861084014912,0.03125715623595646,8.731913617186358,44.13121529278147,16.635735918018828,29.868739163051597,49.97636387148387,37.27503108519479,0.15495785228194578,0.014610461170671368,0.7365606756159496,0.10446509809756545,0.032210237908729615,0.10192217298237712,0.010231354224706892,0.3,0.7,0.9,0.1,0.92,0.08
2335,224.47557594989388,-224.376848100212,0.8516000000000001,0.83172,0.9742983837422355,0.5,2.0,2.0,1.699679669886875,0.13413585374146955,9.618930021912968,49.99999999999999,0.29381182112953913,4.002622846495438,0.06331708314834429,49.37925165691429,0.9356037675612496,49.99999999999999,0.03321722850576709,41.755019847103355,21.999909390322824,5.03060041964328,2.2485493662053107,49.99999999999999,0.24389443658099672,49.99999999999999,1.4019894280663945,2.5428617005194134,0.018323574690593748,0.4830514654794537,0.2898308792876722,0.009661029309589078,0.1932205861917815,0.005912465040909684,0.3,0.7,0.9,0.1,0.92,0.08
2336,-246.74501947360824,-627.5555192340469,0.7219999999999999,0.7048399999999999,0.9010670372810062,0.5544096714475988,0.2746046789638312,1.1541821113852542,1.4480447822049964,0.20428293939043718,0.12737405543385633,0.013210040839461996,10.1393829375704,0.022311884655409123,10.034866895198517,2.9252375589528965,0.06967691249579448,0.02910490203706028,0.28643693803237374,16.11986897375446,0.10782959994759264,0.6306470310694094,0.3528091662602193,0.4565495666360769,2.1209771596263582,0.143326276656286,23.058441160232768,1.281889630830812,0.002876140762904787,0.695319045745457,0.023056750831789742,0.08417203655686807,0.1915830115784543,0.002993014524526094,0.3,0.7,0.9,0.1,0.92,0.08
2337,-422.9209930332472,-597.8858129023112,0.8096,0.7772000000000001,0.9294940655181705,0.8253730321815967,0.6908761656491809,0.1881690541602449,0.6892060909996344,15.68530167945156,0.010006451730437009,18.129308713271914,1.5911045484227224,0.015971630319716722,13.782629894567389,1.8084491161926322,0.07121075051644288,7.523241831114924,0.48316996055413264,39.96231142147686,31.188074740454077,2.266208073496874,5.484126916144449,47.00976021032148,0.03078176233959311,0.08947373829228283,25.638937662789516,0.10589856788354104,0.013612643102451397,0.8183246992959203,0.03682057047027164,0.03527439476084067,0.017266562951352975,0.07870112941916305,0.3,0.7,0.9,0.1,0.92,0.08
2338,-110.85504353091063,-233.59548153250796,0.8371999999999998,0.8104000000000002,0.895298608637739,0.9142637964920176,0.7987870055254127,0.4422309989609269,31.13980257812576,0.04109844805139478,0.4032214089958263,11.926204612054633,0.3133217307533463,36.639335814178814,0.03476082973752316,0.27005239022253474,32.14424127299033,0.8921580106426391,31.65726910921332,38.03902264725952,1.5811196933728717,2.6755791812100953,26.238028180281905,0.2771973356486883,1.7037621190756567,0.26477643413671803,3.4936041628538006,1.3203612091473749,0.079143139569203,0.754753526120479,0.04630184950004594,0.024728337958200456,0.029004998857940403,0.06606814799413124,0.3,0.7,0.9,0.1,0.92,0.08
2339,-353.84161410029293,-760.7947477309335,0.7776,0.7556,0.8839909565920536,0.6766505853671302,1.2967209796289836,0.795626970885805,0.7825317054915377,0.08494165654015517,0.18364083254151203,11.488996537713737,2.4483187696770057,8.563912087078714,12.743633830582288,0.8399772365375461,0.10754464341316611,13.603324079459968,11.525892865826087,0.014449731987390387,0.024666169107677507,0.6717358935194297,6.071259815031164,6.23129583834451,0.05857108614643493,16.85454298869957,9.969559512072538,1.7680862590466133,0.0505211564608608,0.6482446183510245,0.029098448014165675,0.10882363588274341,0.0730043430678113,0.09030779822339426,0.3,0.7,0.9,0.1,0.92,0.08
2340,-368.8574663948706,-585.3449516313387,0.7336,0.6827600000000001,0.907782828023594,0.8125101448665928,1.2031991678983893,0.2705863567726777,5.871785021170112,31.007468446804328,0.26390526972562844,0.13668775320536533,0.04509223277162312,0.0406232774730821,29.901637849641645,1.1486426161088776,44.937234617337694,0.6363635787365944,43.807735991112,0.028545395223289062,0.28751836715976975,0.08991125689756899,0.036540187259462294,3.295407644628187,0.2148458860036444,0.03329498637920856,0.020193056560409168,0.05924864108203776,0.005059268194375596,0.6617607178960138,0.2746110813112645,0.02195425125613942,0.030012771692977044,0.006601909649229611,0.3,0.7,0.9,0.1,0.92,0.08
2341,-200.9807470185643,-528.1406467309632,0.7872000000000001,0.7585599999999999,0.9408766974911242,0.7197820706105813,1.8946564355042639,0.3957243547796397,1.5638576636956443,15.750539366756035,49.777301500117126,0.10746580601847694,2.196796035848554,0.03499395763907178,0.03865680708629815,1.1090560421259998,4.599854110111662,0.22457390191270687,23.681982746565122,5.25838261042323,0.05959959158487522,0.7435962497073527,0.1443853965538,4.670837626589035,0.01720732231354417,0.22153999764408355,1.274227837342443,27.489413744927106,0.003486457265263658,0.7357755844104754,0.1177924343870654,0.01953882097525128,0.11634574542752768,0.007060957534416517,0.3,0.7,0.9,0.1,0.92,0.08
2342,-397.93891557901964,-770.2927486651425,0.7692,0.7338799999999999,0.9076917068696548,0.5795814687377325,0.17250134476333698,0.48018318541386396,0.012623357725303071,14.618764930671379,1.796763236889056,18.19033235578104,2.372861822515376,11.086252272332285,45.99877939884451,0.04374363763495473,0.723229626211416,9.352677460651583,0.08183220696573944,8.824745142089812,0.2590055957796692,0.4219369554124704,0.05138215175227063,6.502820139205621,0.042594591919395304,23.76812582121801,0.02266768173289841,0.1965166764699036,0.06761059397134786,0.6039390096533286,0.26994628611359417,0.010777646832275863,0.030124125218477554,0.017602338210976093,0.3,0.7,0.9,0.1,0.92,0.08
2343,-463.6699621039892,-991.5485681166386,0.7204000000000002,0.67472,0.9168430674256121,0.6360591233814635,1.7875045957500904,0.5667791060675357,0.03199253543405748,17.27283434951474,0.34706291178760323,18.880726630772845,0.021523771896048854,0.33605843009509706,0.03279450911482667,7.096465919638194,0.013393468443453288,0.11201379100463169,1.067763907209054,1.0330565142518442,0.4893809575807698,0.02675290152876951,6.8195720737535535,0.49064963456403765,0.3157907312278319,0.02724308740273172,0.7731417744524561,0.4511518168394501,0.0200874949991306,0.8108667066811183,0.015988255613795018,0.027023873215748388,0.1225538560186385,0.0034798134715691843,0.3,0.7,0.9,0.1,0.92,0.08
